  PID  %CPU %MEM COMM
79344 180.7  5.7 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
51068 178.6  7.4 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 5686  72.8  3.1 /opt/homebrew/Cellar/bun/1.3.9/bin/bun
  450  26.2  0.3 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
 1959  23.3  2.2 /Applications/Brave Browser.app/Contents/MacOS/Brave Browser
 2381  12.0  0.7 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper
88853  11.7  3.6 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
 2931   5.5  3.3 /Users/kkrausse/.bun/install/global/node_modules/@opencode-ai/cli/bin/opencode2.exe
  807   4.8  0.1 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 2382   4.4  0.5 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper
  451   3.2  0.1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
 2402   2.6  0.6 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/152.1.94.117/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer)
12340   1.7  1.1 opencode2
 1961   1.6  0.3 /Applications/Ghostty.app/Contents/MacOS/ghostty
 2674   1.5  0.4 /Users/kkrausse/Documents/repos/Hex/.build/debug/HexApp
19679   1.4  0.1 /usr/libexec/trustd
 2455   1.2  0.1 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
